Stream,Current Degree,10th%,12th%,UG%,Backlog, Work Experience ,Placement Status
Arts,BA,85,71,55.033,No,No,Not Placed
Arts,BA,85,72,64,No,No,Placed
Science,BSc,85,74,71,No,No,Placed
Arts,BA,85,76,65,No,No,Placed
Science,BSc,85,76,64.35,No,No,Placed
Commerce,BCom,85,76,56.22,No,No,Not Placed
Science,BSc,85,80,73,Yes,No,Not Placed
Science,BSc,85,82,72,Yes,No,Not Placed
Science,BCA,85,82,60,Yes,No,Not Placed
Professional,BVC,85,85,69,No,Yes,Placed
Science,BCA,85,86.25,63,No,Yes,Placed
Science,BSc,85,89.33,71.915,Yes,Yes,Not Placed
Science,BSc,85,89.33,74.31,Yes,No,Not Placed
Commerce,BCom,85,94,73,Yes,No,Not Placed
Science,BCA,84.96,89.16,75,Yes,No,Not Placed
Commerce,BCom,84.96,89.83,67.16,Yes,No,Not Placed
Commerce,BCom,84.8,75.33,68.22,No,Yes,Placed
Commerce,BCom,84.8,75.33,70,No,No,Placed
Commerce,BCom,84.64,80,54,No,Yes,Placed
Commerce,BCom,84.64,81.5,58.08,No,Yes,Placed
Science,BSc,84.6,72,60,No,No,Not Placed
Arts,BA,84.5,81.2,68.46,No,Yes,Placed
Science,BSc,84.5,94.5,68.381,No,Yes,Placed
Commerce,BCom,84.4,77,60.66,No,Yes,Placed
Commerce,BCom,84.4,77,60.6,No,No,Not Placed
Commerce,BCom,84.32,89.16,61,No,No,Not Placed
Commerce,BCom,84.3,91.2,76.11,No,No,Placed
Science,BSc,84,59,63,No,No,Placed
Science,BSc,84,63,60,No,No,Not Placed
Arts,BA,84,64,66.3,Yes,Yes,Not Placed
Arts,BA,84,64,58,No,No,Not Placed
Science,BSc,84,74.83,64.2,Yes,No,Not Placed
Science,BSc,84,80,68.58,No,Yes,Placed
Science,BSc,84,80,72.82,Yes,Yes,Not Placed
Commerce,BCom,84,84.33,70.78,No,Yes,Placed
Science,BSc,84,86,70,Yes,No,Not Placed
Commerce,BCom,84,87,65,No,No,Placed
Science,BSc,84,87,71.166,Yes,No,Not Placed
Commerce,BCom,84,87,65,Yes,No,Not Placed
Commerce,BCom,84,87,65,Yes,No,Not Placed
Arts,BA,84,90,65,No,Yes,Placed
Arts,BA,84,90,78,No,No,Placed
Commerce,BCom,83.89,89.14,69.65,No,Yes,Placed
Science,BSc,83.84,57,52.97,No,Yes,Placed
Commerce,BCom,83.84,89.14,69,No,No,Placed
Science,BSc,83.8,86.1,72,No,No,Placed
Science,BSc,83.68,74.83,64.2,No,No,Placed
Commerce,BCom,83.68,76.33,62.94,No,No,Placed
Commerce,BCom,83.68,76.33,62.94,No,Yes,Not Placed
Commerce,BCom,83.68,81.66,65.33,No,Yes,Placed
Science,BSc,83.66,66.66,70,No,Yes,Placed
Science,BSc,83.6,59,60.6,No,Yes,Placed
Science,BSc,83.6,74,65,No,Yes,Placed
Science,BSc,83.6,74,56.82,No,No,Not Placed
Science,BSc,83.6,74.4,65.18,No,Yes,Placed
Professional,BVC,83.6,79.2,61.6,No,No,Not Placed
Science,BSc,83.6,79.6,73.7,No,No,Placed
Science,BSc,83.6,79.6,73.7,No,No,Placed
Science,BSc,83.6,81,72.1,Yes,Yes,Not Placed
Commerce,BCom,83.6,91,79.9,No,No,Placed
Commerce,BCom,83.6,91,79.6,Yes,No,Not Placed
Commerce,BCom,83.6,91,79.66,Yes,No,Not Placed
Commerce,BCom,83.6,91,79.6,Yes,No,Not Placed
Science,BSc,83.5,59,60,No,Yes,Not Placed
Science,BSc,83.5,73.2,75,No,Yes,Placed
Arts,BA,83.5,75.1667,59.85,Yes,No,Not Placed
Commerce,BBA,83.5,94.5,81,Yes,No,Placed
Commerce,BBA,83.5,94.5,80.2,Yes,No,Not Placed
Commerce,BCom,83.43,87.32,59,No,Yes,Not Placed
Arts,BA,83.38,84.5,68,Yes,Yes,Not Placed
Commerce,BCom,83.37,91.67,64,No,No,Placed
Commerce,BCom,83.36,86,59.335,No,No,Not Placed
Science,BSc,83.2,94.5,62.1,Yes,No,Not Placed
Science,BSc,83.04,62.5,64.36,No,No,Placed
Science,BSc,83.04,62.5,64.36,Yes,No,Not Placed
Professional,BSW,83,67,68,No,Yes,Placed
Commerce,BCom,83,83,61,No,No,Not Placed
Commerce,BCom,83,83,57.4,No,No,Not Placed
Arts,BA,83,84,75,No,No,Placed
Arts,BA,83,85,72,Yes,No,Not Placed
Commerce,BCom,83,86.67,73,No,No,Placed
Commerce,BCom,83,87,75,Yes,No,Not Placed
Commerce,BCom,83,88,73,Yes,Yes,Not Placed
Commerce,BCom,83,90,71,No,Yes,Placed
Science,BSc,82.8,75.2,75,Yes,No,Not Placed
Arts,BA,82.8,90,69.67,No,No,Not Placed
Science,BSc,82.56,73,60.3,Yes,No,Not Placed
Arts,BA,82.4,81.75,66.2,Yes,Yes,Not Placed
Science,BCA,82.333,70.88,80,Yes,No,Not Placed
Science,BSc,82.24,73.33,63,No,No,Placed
Commerce,BBA,82,67,65,Yes,Yes,Not Placed
Arts,BA,82,67,64,No,No,Not Placed
Science,BSc,82,68,60,Yes,No,Not Placed
Science,BCA,82,69,72.3,No,Yes,Placed
Science,BSc,82,69,62,No,No,Placed
Science,BCA,82,69,72.3,Yes,No,Not Placed
Science,BSc,82,72,59,No,No,Not Placed
Commerce,BCom,82,77,60,No,No,Not Placed
Science,BSc,82,77,60,No,No,Not Placed
Commerce,BCom,82,78,61,No,No,Not Placed
Commerce,BBA,82,79.4,59,No,Yes,Placed
Commerce,BBA,82,79.4,58,Yes,Yes,Not Placed
Arts,BA,82,80,75,Yes,Yes,Not Placed
Professional,BVC,82,80.33,68,No,Yes,Placed
Arts,BA,82,82,65,No,Yes,Placed
Arts,BA,82,82,64.46,No,No,Placed
Commerce,BBA,82,82,62,No,No,Not Placed
Arts,BA,82,84,74,Yes,No,Not Placed
Science,BSc,82,85,68,No,Yes,Placed
Science,BSc,82,85,68.5,No,No,Placed
Science,BSc,82,85,68.5,Yes,Yes,Not Placed
Commerce,BCom,82,85,70,Yes,No,Not Placed
Arts,BA,82,86,65,Yes,Yes,Not Placed
Arts,BA,82,86,65,No,No,Not Placed
Commerce,BCom,82,86,60,No,No,Not Placed
Arts,BA,82,87,60,Yes,No,Not Placed
Commerce,BCom,82,89,68.3,No,Yes,Placed
Commerce,BCom,82,89,68,No,Yes,Placed
Commerce,BCom,82,89,68.3,No,No,Placed
Commerce,BCom,82,90,67.5,Yes,Yes,Not Placed
Commerce,BCom,82,94,60,No,No,Placed
Professional,BVC,81.7,63,71.5,Yes,Yes,Not Placed
Science,BSc,81.7,72,58.3,No,No,Not Placed
Arts,BA,81.7,73.6,63.5,Yes,No,Not Placed
Commerce,BCom,81.7,75.4,66,No,Yes,Placed
Professional,BVC,81.7,82.6,71.04,No,Yes,Placed
Commerce,BCom,81.7,87.33,75.94,No,No,Placed
Commerce,BBA,81.7,90,74.94,Yes,No,Not Placed
Commerce,BBA,81.7,90,74.94,No,No,Placed
Commerce,BCom,81.7,91,82.22,Yes,Yes,Not Placed
Commerce,BBA,81.66,73.667,59.38,No,No,Not Placed
Science,BSc,81.6,72.16,73.97,No,No,Placed
Commerce,BCom,81.6,85.17,69.55,Yes,No,Not Placed
Professional,BVC,81.5,75.2,71,No,No,Placed
Science,BSc,81.33,71,72.33,Yes,Yes,Not Placed
Science,BSc,81.3,79.5,69.5,Yes,No,Not Placed
Commerce,BCom,81.16,78.5,67.6,No,Yes,Placed
Science,BSc,81.1,79,73.02,No,No,Placed
Professional,BVoc,81,76.2,73.5,Yes,No,Not Placed
Science,BSc,81,79,72,No,No,Placed
Commerce,BCom,81,86,60,Yes,Yes,Not Placed
Commerce,BCom,81,90,67.64,No,Yes,Placed
Commerce,BBA,80.96,64.16,68.94,No,No,Placed
Commerce,BBA,80.96,64.16,68.94,No,No,Placed
Science,BSc,80.96,70.83,60,No,No,Placed
Commerce,BCom,80.88,88.88,76.67,No,No,Placed
Commerce,BCom,80.8,89.8,74.56,No,No,Placed
Commerce,BCom,80.5,88,76.72,No,No,Placed
Science,BCA,80.48,74,58.38,No,No,Not Placed
Commerce,BCom,80.48,84.5,60,No,No,Placed
Science,BCA,80.45,76,75,Yes,No,Not Placed
Science,BSc,80.33,65.3,67.44,No,Yes,Placed
Science,BCA,80.16,89,87,No,No,Placed
Commerce,BCom,80.08,69,53.27,No,Yes,Not Placed
Science,BSc,80,60,56,Yes,No,Not Placed
Professional,BVoc,80,68,53.41,No,No,Not Placed
Professional,BVoc,80,73,73.8,No,Yes,Placed
Professional,BVoc,80,73,68.1,No,Yes,Placed
Commerce,BCom,80,75,65,No,No,Placed
Commerce,BCom,80,75,64.5,Yes,Yes,Not Placed
Commerce,BCom,80,75,64,No,Yes,Not Placed
Commerce,BCom,80,75,62,No,No,Not Placed
Commerce,BCom,80,75,56,No,Yes,Not Placed
Commerce,BBA,80,76,65,No,Yes,Placed
Science,BSc,80,78,66,Yes,Yes,Not Placed
Science,BSc,80,78,70.695,Yes,No,Not Placed
Commerce,BCom,80,79.95,52,No,Yes,Placed
Commerce,BCom,80,80,60,No,Yes,Placed
Commerce,BCom,80,80,60,No,No,Placed
Science,BSc,80,80,64.1,Yes,No,Not Placed
Science,BCA,80,80,60,Yes,No,Not Placed
Arts,BA,80,80.6,74,No,No,Placed
Science,BCA,80,82,68,No,Yes,Placed
Professional,BVoc,80,82,80,Yes,No,Placed
Commerce,BBA,80,82,58,No,No,Not Placed
Professional,BVoc,80,83,75,No,No,Placed
Commerce,BCom,80,83,63,Yes,Yes,Not Placed
Science,BSc,80,84.33,62.86,Yes,No,Not Placed
Science,BSc,80,84.33,62.86,Yes,No,Not Placed
Commerce,BCom,80,85,60,No,No,Not Placed
Professional,BVC,80,87,85,No,No,Placed
Science,BSc,79.8,53,56.46,No,Yes,Placed
Professional,BVoc,79.8,77,66.2,Yes,Yes,Not Placed
Arts,BA,79.8,82.6,73,No,Yes,Placed
Commerce,BBA,79.8,85.33,60.99,No,No,Not Placed
Science,BSc,79.8,86.4,74.8,No,No,Placed
Commerce,BBA,79.8,91.5,65,Yes,No,Not Placed
Commerce,BCom,79.8,93.6,77,Yes,Yes,Not Placed
Science,BSc,79.68,80.5,74.16,Yes,No,Not Placed
Science,BSc,79.6,78,76,No,No,Placed
Science,BSc,79.6,78.16,77.075,Yes,No,Not Placed
Commerce,BBA,79.5,68.4,61.33,Yes,Yes,Not Placed
Science,BCA,79.5,75.66,79.253,No,Yes,Placed
Commerce,BCom,79.2,82.17,63.22,Yes,No,Not Placed
Commerce,BCom,79.2,84.4,66.61,No,Yes,Placed
Commerce,BCom,79.2,84.4,66.61,Yes,Yes,Not Placed
Science,BSc,79,55,56.9,No,Yes,Placed
Science,BSc,79,63,60,No,No,Not Placed
Science,BSc,79,66.834,63.846,Yes,Yes,Not Placed
Science,BSc,79,69,60,No,No,Not Placed
Commerce,BCom,79,81,60,Yes,No,Not Placed
Arts,BA,79,82.8,68.4,No,Yes,Placed
Commerce,BCom,79,84,66,No,Yes,Placed
Commerce,BCom,79,84,66,No,No,Placed
Commerce,BCom,79,89,79,No,No,Placed
Commerce,BBA,79,89,70.61,No,No,Placed
Commerce,BBA,79,91,65,Yes,Yes,Not Placed
Commerce,BCom,78.88,78.5,62,Yes,Yes,Not Placed
Science,BSc,78.8,78,66,No,Yes,Placed
Commerce,BBA,78.8,79.6,63,No,No,Not Placed
Commerce,BCom,78.72,86.6,66.16,No,Yes,Placed
Commerce,BCom,78.72,86.6,66.16,No,Yes,Placed
Commerce,BCom,78.6,79.9,65,No,Yes,Not Placed
Arts,BA,78.5,82.4,69.33,No,Yes,Placed
Commerce,BCom,78.41,70,56.27,No,No,Not Placed
Commerce,BCom,78.24,89,72,No,Yes,Placed
Commerce,BCom,78.08,84.6,65,No,No,Placed
Commerce,BCom,78.08,84.66,65,No,Yes,Not Placed
Professional,BVoc,78,60,53.16,No,Yes,Placed
Professional,BVoc,78,60,56.25,No,No,Not Placed
Science,BCA,78,60.2,70,No,No,Placed
Science,BSc,78,64,60,Yes,No,Not Placed
Science,BSc,78,65,70,No,No,Placed
Commerce,BCom,78,67,60,No,No,Not Placed
Professional,BVoc,78,69,66.07,Yes,No,Not Placed
Science,BSc,78,70,61.67,No,Yes,Placed
Science,BSc,78,70,62,No,No,Not Placed
Commerce,BCom,78,71,56,No,No,Not Placed
Professional,BVoc,78,71.8,65,No,No,Placed
Commerce,BCom,78,82.6,60.91,Yes,No,Not Placed
Commerce,BCom,78,82.6,60.91,No,No,Not Placed
Commerce,BCom,78,83,60.6,No,Yes,Not Placed
Commerce,BBA,78,84,57.5,No,No,Not Placed
Commerce,BBA,78,84.5,68,No,Yes,Placed
Science,BSc,78,85.2,68,No,Yes,Placed
Commerce,BCom,78,90,69,No,Yes,Placed
Commerce,BCom,78,90,69,Yes,Yes,Not Placed
Commerce,BCom,78,90,69,No,No,Not Placed
Commerce,BCom,78,91,80,Yes,No,Not Placed
Commerce,BCom,78,92,80,No,No,Placed
Science,BSc,77.98,73,65,No,No,Not Placed
Arts,BA,77.9,63,66.46,Yes,No,Not Placed
Science,BCA,77.9,79,70,No,No,Placed
Commerce,BCom,77.9,79.8,64.89,No,No,Not Placed
Science,BCA,77.9,85.6,66.7,No,Yes,Placed
Commerce,BCom,77.88,83.33,69.5,No,No,Placed
Commerce,BCom,77.83,79,60.25,No,No,Not Placed
Science,BSc,77.83,81,63.82,No,No,Placed
Science,BSc,77.7,58.8,63.5,No,Yes,Placed
Arts,BA,77.6,84.67,75.86,Yes,Yes,Not Placed
Arts,BA,77.5,69,56,No,No,Not Placed
Science,BCA,77.44,83,78.25,Yes,No,Not Placed
Science,BCA,77.28,75.17,53,No,Yes,Placed
Commerce,BCom,77.28,88.167,70,No,No,Placed
Commerce,BCom,77.28,88.167,67.88,Yes,Yes,Not Placed
Commerce,BBA,77.2,81.4,67.8,No,Yes,Placed
Professional,BVoc,77,49.5,65,No,No,Placed
Professional,BVoc,77,49.5,65,Yes,Yes,Not Placed
Arts,BA,77,63,66,No,No,Placed
Science,BSc,77,65.6,68.61,No,Yes,Placed
Arts,BA,77,67,58.33,Yes,Yes,Not Placed
Commerce,BCom,77,70,57.5,Yes,No,Not Placed
Commerce,BCom,77,73,60,No,No,Not Placed
Commerce,BCom,77,79,73,No,No,Placed
Science,BCA,77,80,77.25,No,No,Placed
Arts,BA,77,83,78,No,No,Placed
Arts,BA,77,83,79,Yes,No,Not Placed
Commerce,BCom,77,83.33,69.5,No,No,Placed
Arts,BA,77,84,78,Yes,No,Not Placed
Commerce,BCom,77,85,63.5,No,No,Placed
Commerce,BCom,77,88.167,68,No,Yes,Placed
Arts,BA,77,91,70,No,No,Placed
Commerce,BCom,77,92,70,No,Yes,Placed
Commerce,BCom,77,93.83,71.83,No,No,Placed
Science,BSc,76.77,58.3,61,No,No,Placed
Commerce,BCom,76.64,68,65,No,No,Placed
Science,BSc,76.6,88.75,79.84,Yes,No,Not Placed
Arts,BA,76.5,82,60.5,Yes,No,Not Placed
Science,BCA,76.2,64.5,75.8,No,No,Placed
Arts,BA,76,54,58,Yes,Yes,Not Placed
Arts,BA,76,55,55,No,Yes,Placed
Commerce,BBA,76,55.3,55.58,Yes,No,Not Placed
Science,BCA,76,64,61,No,No,Not Placed
Arts,BA,76,66,60,No,Yes,Placed
Arts,BA,76,66,60,No,No,Not Placed
Commerce,BCom,76,67,60,No,No,Not Placed
Commerce,BCom,76,67,60,No,No,Not Placed
Arts,BA,76,68,58.33,No,Yes,Not Placed
Science,BCA,76,69,60,No,No,Not Placed
Professional,BVoc,76,71,75,No,No,Placed
Professional,BVoc,76,71,72,Yes,Yes,Not Placed
Professional,BVoc,76,71,70,Yes,Yes,Not Placed
Professional,BVoc,76,72,70,No,No,Placed
Commerce,BBA,76,74,71,No,No,Placed
Commerce,BBA,76,74,71,Yes,No,Not Placed
Professional,BVoc,76,75,72,No,Yes,Placed
Professional,BVoc,76,76,60,Yes,No,Not Placed
Arts,BA,76,78,75,No,No,Placed
Commerce,BBA,76,79.83,59.056,Yes,No,Not Placed
Commerce,BBA,76,79.83,60,No,Yes,Not Placed
Arts,BA,76,80,75,No,No,Placed
Arts,BA,76,80,74,Yes,Yes,Not Placed
Science,BSc,76,80,58.87,Yes,No,Not Placed
Science,BSc,76,80,58.87,Yes,No,Not Placed
Science,BSc,76,80.167,58.87,Yes,Yes,Not Placed
Arts,BA,76,80.6,62.8,Yes,No,Not Placed
Arts,BA,76,83.8,64.16,Yes,No,Not Placed
Commerce,BBA,76,84.2,72.15,Yes,Yes,Not Placed
Commerce,BCom,76,85,69.085,Yes,No,Not Placed
Commerce,BBA,76,85,65.93,Yes,No,Not Placed
Commerce,BBA,76,85.5,61.5,No,No,Not Placed
Commerce,BCom,76,89,66.7,No,Yes,Placed
Commerce,BBA,76,90,66.8,No,Yes,Placed
Commerce,BCom,76,90.8,61.46,No,Yes,Placed
Commerce,BCom,75.52,86.16,66.5,No,Yes,Placed
Commerce,BBA,75.5,61.3,59,Yes,No,Not Placed
Commerce,BCom,75.5,90.16,65.22,No,Yes,Placed
Commerce,BCom,75.5,90.2,65,No,No,Not Placed
Science,BCA,75.39,86,69.66,No,Yes,Placed
Science,BSc,75.36,66,60,Yes,No,Not Placed
Commerce,BCom,75.36,76.77,52.83,No,Yes,Placed
